,Provincias,Ramas de actividad,periodo,Total
134,33 Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,23.711.269
135,33 Asturias,"A. Agricultura, ganadería, silvicultura y pesca",2021,306.301
136,33 Asturias,"A. Agricultura, ganadería, silvicultura y pesca",2020,284.291
137,33 Asturias,"A. Agricultura, ganadería, silvicultura y pesca",2019,307.966
138,33 Asturias,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,4.572.369
139,33 Asturias,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3.762.056
140,33 Asturias,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,4.239.988
141,33 Asturias,C. - De las cuales: Industria manufacturera,2021,3.118.701
142,33 Asturias,C. - De las cuales: Industria manufacturera,2020,2.508.510
143,33 Asturias,C. - De las cuales: Industria manufacturera,2019,2.902.969
144,33 Asturias,F. Construcción,2021,1.392.272
145,33 Asturias,F. Construcción,2020,1.314.621
146,33 Asturias,F. Construcción,2019,1.521.189
147,33 Asturias,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,4.867.794
148,33 Asturias,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,4.189.893
149,33 Asturias,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,5.208.875
150,33 Asturias,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,5.075.288
151,33 Asturias,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,4.877.413
152,33 Asturias,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,5.013.066
153,33 Asturias,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,5.092.263
154,33 Asturias,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,5.025.246
155,33 Asturias,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,5.213.870
156,33 Asturias,Valor añadido bruto total,2021,21.306.287
157,33 Asturias,Valor añadido bruto total,2020,19.453.520
158,33 Asturias,Valor añadido bruto total,2019,21.504.954
159,33 Asturias,Impuestos netos sobre los productos,2021,2.243.372
160,33 Asturias,Impuestos netos sobre los productos,2020,1.865.628
161,33 Asturias,Impuestos netos sobre los productos,2019,2.206.315
162,33 Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,23.549.659
163,33 Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,21.319.148
164,33 Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,23.711.269
165,05 Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3.300.110
166,05 Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,3.076.404
167,05 Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,3.321.394
168,05 Ávila,"A. Agricultura, ganadería, silvicultura y pesca",2021,141.202
169,05 Ávila,"A. Agricultura, ganadería, silvicultura y pesca",2020,141.187
170,05 Ávila,"A. Agricultura, ganadería, silvicultura y pesca",2019,104.443
171,05 Ávila,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,324.441
172,05 Ávila,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,264.401
173,05 Ávila,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,281.793
174,05 Ávila,C. - De las cuales: Industria manufacturera,2021,251.439
175,05 Ávila,C. - De las cuales: Industria manufacturera,2020,216.637
176,05 Ávila,C. - De las cuales: Industria manufacturera,2019,234.660
177,05 Ávila,F. Construcción,2021,266.759
